time_s,x_m,y_m,z_m
0.04,-0.6911639872227363,-1.64,1.3271639872227363
0.08,-0.6937299012838801,-1.6398175246790299,1.329
0.12,-0.6964651311188098,-1.6391337172202975,1.329
0.16,-0.697,-1.639,1.329
0.2,-0.697,-1.639,1.329
0.24,-0.698107176348036,-1.6384464118259818,1.331214352696072
0.28,-0.6992455271183352,-1.6378772364408323,1.3328772364408323
0.32,-0.7001315018390458,-1.637434249080477,1.332434249080477
0.36,-0.701,-1.637,1.3320443749580981
0.4,-0.701,-1.637,1.3342939647890157
0.44,-0.7009275577166731,-1.637,1.3360724422833268
0.48,-0.7006277434608023,-1.637,1.3363722565391978
0.52,-0.7003279292049315,-1.637,1.3366720707950686
0.56,-0.7000281149490606,-1.637,1.3369718850509393
0.6,-0.7,-1.637,1.337
0.64,-0.700804238509442,-1.637,1.3378042385094422
0.68,-0.700778165903707,-1.637,1.338443668192586
0.72,-0.7004895449939702,-1.637,1.3390209100120596
0.76,-0.7002009240842334,-1.637,1.3395981518315332
0.8,-0.7,-1.637,1.34
0.84,-0.7,-1.637,1.34
0.88,-0.7,-1.637,1.34
0.92,-0.7,-1.6365501658421016,1.3395501658421016
0.96,-0.7,-1.636063056465287,1.339063056465287
1,-0.7003426551114156,-1.6353146897771687,1.3400279653342468
1.04,-0.7007362628741419,-1.634527474251716,1.3412087886224258
1.08,-0.701,-1.634,1.342
1.12,-0.701,-1.634,1.342
1.16,-0.7001195998123109,-1.6322391996246217,1.3411195998123109
1.2,-0.6988043834761507,-1.6314021917380754,1.3415978082619247
1.24,-0.698,-1.631,1.342
1.28,-0.698,-1.631,1.342
1.32,-0.697540822204131,-1.6307704111020656,1.3415408222041312
1.36,-0.6962702781953464,-1.630135139097673,1.3402702781953464
1.4,-0.696,-1.63,1.34
1.44,-0.6948112149338145,-1.6296037383112714,1.3403962616887286
1.48,-0.6923012113476663,-1.629,1.3411746971630834
1.52,-0.6904512235046988,-1.629,1.3416371941238254
1.56,-0.689,-1.629,1.342
1.6,-0.689,-1.629,1.342
1.64,-0.6879092551794249,-1.627909255179425,1.3441814896411504
1.68,-0.6875277935490187,-1.6263666477411776,1.3462111174196076
1.72,-0.6900939332387058,-1.623287280113553,1.3472375732954824
1.76,-0.6934701165771987,-1.61983938164958,1.348
1.8,-0.6991854312567459,-1.6153272911130954,1.348
1.84,-0.7049007459362931,-1.6108152005766108,1.348
1.88,-0.7106160606158403,-1.6063031100401262,1.348
1.92,-0.711,-1.606,1.348
1.96,-0.7250556387948989,-1.5945335578252142,1.3465204590742212
2,-0.766363481763445,-1.560997192126254,1.3423196630551506
2.04,-0.8098265006455604,-1.5259463704471288,1.3381135644536555
2.08,-0.811,-1.525,1.338
2.12,-0.811,-1.525,1.338
2.16,-0.857786467589221,-1.4863739628042478,1.3331037417639187
2.2,-0.9353157881313249,-1.4233473694949401,1.3270842105934337
2.24,-0.997,-1.374,1.324
2.28,-0.997,-1.374,1.324
2.32,-1.0369216058400585,-1.3401681306440183,1.3219700878386411
2.36,-1.115,-1.274,1.318
2.4,-1.115,-1.274,1.318
2.44,-1.2301088304933712,-1.1704987826656241,1.3141307956136683
2.48,-1.2886144423278407,-1.116252066863511,1.3120667454043242
2.52,-1.345043191732546,-1.0638182731688732,1.3100692675492904
2.56,-1.347,-1.062,1.31
2.6,-1.3610969291127522,-1.0490196593318224,1.3094417057777128
2.64,-1.4436808809610842,-0.9729770106001898,1.306171054219363
2.68,-1.4935397816064064,-0.9278876971608832,1.3110599757340453
2.72,-1.5238789352597095,-0.9002318914619966,1.3154407473821779
2.76,-1.5325112076455256,-0.8918462554300609,1.318647019982624
2.8,-1.5411434800313417,-0.8834606193981251,1.3218532925830697
2.84,-1.549775752417158,-0.8750749833661894,1.3250595651835158
2.88,-1.556542556520164,-0.8676004676353004,1.3302565082092352
2.92,-1.560449737019834,-0.8615226313024802,1.3385050003752055
2.96,-1.564540903678405,-0.855459096321595,1.3460832159505238
3,-1.5704621829347423,-0.8495378170652578,1.3469941819899605
3.04,-1.5763834621910793,-0.8436165378089205,1.3479051480293969
3.08,-1.577,-0.843,1.348
3.12,-1.577,-0.843,1.348
3.16,-1.5862684178610806,-0.8352145289966922,1.341326739140022
3.2,-1.6066556722333403,-0.8189738130483288,1.3279049474949969
3.24,-1.6212218198550958,-0.8095058170941878,1.3213501810652069
3.28,-1.6311909542591085,-0.8030258797315795,1.320080904574089
3.32,-1.6409006374845547,-0.7967145856350394,1.3191099362515444
3.36,-1.642,-0.796,1.319
3.4,-1.642,-0.796,1.319
3.44,-1.642,-0.796,1.319
3.48,-1.6691928756659968,-0.7641186974950384,1.319937685367793
3.52,-1.6847228221903727,-0.7473307762792566,1.3209464015303707
3.56,-1.6993110932674491,-0.7317364175416924,1.3219524891908587
3.6,-1.7,-0.731,1.322
3.64,-1.7134766759516142,-0.7223899014753575,1.3227487042195343
3.68,-1.7458135189427313,-0.7013758747136563,1.3236319930396476
3.72,-1.7753768951541853,-0.681420595770925,1.322523366431718
3.76,-1.8049402713656386,-0.661465316828194,1.3214147398237885
3.8,-1.816,-0.654,1.321
3.84,-1.816,-0.654,1.321
3.88,-1.816,-0.654,1.321
3.92,-1.826935029648404,-0.6462654668340558,1.321
3.96,-1.8540909879906198,-0.6270575938602932,1.321
4,-1.8820317686696797,-0.608118109501844,1.3198357316897822
4.04,-1.9,-0.596,1.319
4.08,-1.9,-0.596,1.319
4.12,-1.9,-0.596,1.319
4.16,-1.9145723725554464,-0.5858332284496885,1.3193388923850105
4.2,-1.9521497631815872,-0.5588835175254323,1.3204066561414038
4.24,-1.9849857439229657,-0.5333444213932489,1.321866033063243
4.28,-1.988,-0.531,1.322
4.32,-1.988,-0.531,1.322
4.36,-2.0209299499992115,-0.5046560400006307,1.323013229230745
4.4,-2.0658501515538843,-0.468680938903699,1.323805300734032
4.44,-2.116396852791879,-0.42809040609137017,1.3230394416243654
4.48,-2.119,-0.426,1.323
4.52,-2.119,-0.426,1.323
4.56,-2.1372583346229708,-0.4117495924893889,1.32233201214794
4.6,-2.198791126994279,-0.3637239984434897,1.3200808124270387
4.64,-2.2621276977921148,-0.31410613368865237,1.3193698175485349
4.68,-2.3299621740735645,-0.2606714846964205,1.3208091796645414
4.72,-2.4035697236299454,-0.20234097372721305,1.3249756447337706
4.76,-2.477177273186326,-0.14401046275800558,1.3291421098029996
4.8,-2.5507848227427075,-0.08567995178879811,1.3333085748722289
4.84,-2.563,-0.076,1.334
4.88,-2.563,-0.076,1.334
4.92,-2.563,-0.076,1.334
4.96,-2.647170406612247,-0.008907646903281455,1.3468085401366463
5,-2.732289680856479,0.05860016288026604,1.3603947725614618
5.04,-2.801081039153475,0.11268440319652527,1.3722553515781852
5.08,-2.846,0.148,1.38
5.12,-2.846,0.148,1.38
5.16,-2.928200948415636,0.2106033713099217,1.3985088228220637
5.2,-3.0175541989471752,0.2780203761537051,1.418216245937882
5.24,-3.1004513583469007,0.33859906956119656,1.4352207914557744
5.28,-3.1761146936804736,0.39342742381065116,1.4510881401183433
5.32,-3.239252618982249,0.43829903110059204,1.4649864255621303
5.36,-3.302390544284024,0.48317063839053287,1.4788847110059173
5.4,-3.312,0.49,1.481
5.44,-3.372276205550822,0.5321933438855756,1.493431967394857
5.48,-3.5062867533933266,0.6250694822214357,1.5216192785318503
5.52,-3.587867913817633,0.6799605099143333,1.5397484252928073
5.56,-3.634,0.711,1.55
5.6,-3.634,0.711,1.55
5.64,-3.634,0.711,1.55
5.68,-3.7895396913986756,0.8140569734420672,1.5767184745960916
5.72,-3.8750524247517744,0.8725076370939837,1.5917450810883629
5.76,-3.956348495510325,0.9282393002504231,1.6060511126748478
5.8,-3.9956139581691796,0.9552015846095034,1.6118100471981465
5.84,-4.034879420828035,0.9821638689685839,1.6175689817214451
5.88,-4.074144883486889,1.0091261533276643,1.6233279162447438
5.92,-4.106,1.031,1.628
5.96,-4.106,1.031,1.628
6,-4.20163612456418,1.0977648416768804,1.6394282161428895
6.04,-4.30508567118301,1.170312257269119,1.6509244713046303
6.08,-4.405012027772804,1.2408896140213506,1.6607074712504843
6.12,-4.408,1.243,1.661
6.16,-4.455915651768468,1.277747991740492,1.664291915006994
6.2,-4.553625020023393,1.3491681971087734,1.6722602303672516
6.24,-4.6094032049518985,1.3917624474178136,1.680880495310748
6.28,-4.649,1.422,1.687
6.32,-4.649,1.422,1.687
6.36,-4.6863112968963065,1.452020583709672,1.6934329822235012
6.4,-4.736,1.492,1.702
6.44,-4.736,1.492,1.702
6.48,-4.812875680607774,1.5542629479302628,1.7204247498977308
6.52,-4.857,1.59,1.731
6.56,-4.857,1.59,1.731
6.6,-4.857,1.59,1.731
6.64,-4.857,1.59,1.731
6.68,-4.857,1.59,1.731
6.72,-4.926664068834575,1.6519236167418443,1.747586683055851
6.76,-4.988015719930525,1.7079340911854102,1.7621303030829352
6.8,-5.006488245456237,1.7297889101172383,1.7662931257366168
6.84,-5.024960770981949,1.7516437290490663,1.7704559483902982
6.88,-5.043433296507661,1.7734985479808945,1.7746187710439798
6.92,-5.054,1.786,1.777
6.96,-5.054,1.786,1.777
7,-5.0750783610294565,1.8155682564440978,1.788124690543324
7.04,-5.123389979482873,1.8833387212190293,1.813622489171516
7.08,-5.166036836284662,1.947745544707762,1.8370892889846406
7.12,-5.2083601782685225,2.0119602704763784,1.8604400983550466
7.16,-5.213,2.019,1.863
7.2,-5.213,2.019,1.863
7.24,-5.320528481355599,2.1734500004925876,1.9167642406777994
7.28,-5.43628826234554,2.341360839632464,1.9672153926583085
7.32,-5.445,2.354,1.971
7.36,-5.445,2.354,1.971
7.4,-5.4828813466556365,2.40595156112773,1.982364403996691
7.44,-5.582535995248097,2.5426207934831044,2.012260798574429
7.48,-5.585,2.546,2.013
7.52,-5.6524954040546795,2.6349077391340945,2.02789553744655
7.56,-5.725647322840802,2.731266473535124,2.0440394091786596
7.6,-5.73,2.737,2.045
7.64,-5.787568702864937,2.810233656025465,2.050091109777171
7.68,-5.925415347337309,2.983712261716015,2.0616311510502983
7.72,-6.00528253863904,3.0817140885272694,2.0681247891978947
7.76,-6.025698050981901,3.105658207941735,2.0708972661827274
7.8,-6.04611356332476,3.1296023273562,2.07366974316756
7.84,-6.066529075667621,3.1535464467706653,2.076442220152393
7.88,-6.085063912225147,3.1750976554776074,2.0809289392153048
7.92,-6.101186889275895,3.1935800925845625,2.0876140760412247
7.96,-6.117309866326643,3.2120625296915177,2.0942992128671447
8,-6.119,3.214,2.095
8.04,-6.146664717591697,3.2426186733707207,2.113125159801456
8.08,-6.148,3.244,2.114
8.12,-6.148,3.244,2.114
8.16,-6.16349331142488,3.2637970090429027,2.1096963023819777
8.2,-6.170310064149595,3.270232548112196,2.101996145756909
8.24,-6.176965369317809,3.276756134469225,2.093034630682191
8.28,-6.187976786862866,3.2907039300262966,2.082023213137134
8.32,-6.189,3.292,2.081
8.36,-6.189,3.292,2.081
8.4,-6.191622389908489,3.293398607951194,2.076104872170821
8.44,-6.202225312199808,3.2990534998398973,2.056312750560359
8.48,-6.21390230525339,3.30990230525339,2.002588264164561
8.52,-6.215,3.311,1.997
8.56,-6.215,3.311,1.997
8.6,-6.216061731186269,3.31595474553592,1.9669176163890563
8.64,-6.218486653689365,3.3274332684468266,1.8842607397061764
8.68,-6.21995115809321,3.334755790466048,1.8007839886870527
8.72,-6.220238192416999,3.3369055393359917,1.7639384843691475
8.76,-6.220484602733288,3.3388768218663025,1.7287018091398445
8.8,-6.220731013049576,3.340848104396613,1.6934651339105398
8.84,-6.2209774233658655,3.342819386926924,1.6582284586812366
8.88,-6.221,3.343,1.655
8.92,-6.221596635750963,3.3447899072528884,1.6266598018292684
8.96,-6.2229426896662385,3.3488280689987167,1.5627222408536572
9,-6.221777198798735,3.3575596084088564,1.493357334531046
9.04,-6.221,3.3643905175301576,1.4380218363851938
9.08,-6.221,3.367942537403316,1.4048696509023844
9.12,-6.221,3.3714945572764736,1.3717174654195765
9.16,-6.221,3.372,1.367
9.2,-6.221,3.3730187502549436,1.358442497858474
9.24,-6.221,3.3768207453872194,1.326505738747354
9.28,-6.221,3.377,1.325
9.32,-6.220750703108443,3.3792436720240135,1.318767577711073
9.36,-6.2201042295939795,3.385061933654183,1.302605739849491
9.4,-6.22,3.386,1.3
9.44,-6.216935770237082,3.387225691905167,1.2883559269009135
9.48,-6.214001534637172,3.388,1.2786702474867362
9.52,-6.21165193258128,3.388,1.273187842689653
9.56,-6.209302330525387,3.388,1.2677054378925696
