time_s,rtk_x_m,rtk_y_m,rtk_z_m,ekf_x_m,ekf_y_m,ekf_error_m,ekf_rts_x_m,ekf_rts_y_m,ekf_rts_error_m,jointopt_x_m,jointopt_y_m,jointopt_z_m,jointopt_error_m
0.0,,,,1.2270928949563533,5.245361414328282,,1.2955688112068877,5.058208520410308,,1.3284660289212098,3.9582437661345486,1.0,
0.04,,,,1.2141728512628434,5.265304258346118,,1.2778528274252525,5.075124869004068,,1.315177030154124,3.975535362407478,1.0,
0.08,1.387,3.183,1.058,1.072062023680466,5.398772156679481,2.2380420414380695,1.2623781637648241,5.090559339556199,1.9116258096172247,1.301057468964095,3.993907683447466,1.0,0.8154491950544762
0.12,1.3869502091819,3.1831161785755664,1.0579834030606334,1.053935691965581,5.423725820544664,2.2652218956123717,1.2445869875862925,5.109064660883297,1.9312029524020848,1.2861073453511234,4.0133607292545115,1.0,0.8363463978027741
0.16,1.3854549003110543,3.1866052326075396,1.0574849667703514,1.0479042613080818,5.441459772769743,2.2799801383304676,1.2268660480319844,5.1277466683753765,1.947608918063894,1.2703266593152092,4.033894499828615,1.0,0.8550752096879107
0.2,1.3839539833697452,3.190103537418073,1.057,1.0396078060894527,5.459232065692767,2.2951075285566973,1.2114354829161649,5.14453383055632,1.9620296643361959,1.253715410856352,4.0555089951697765,1.0,0.8751506682147722
0.24,1.3822511492231686,3.1939349142478703,1.057,1.0300673013429564,5.475894541805743,2.30897665742029,1.197713511870512,5.159987820626153,1.974694449852481,1.2362735999745516,4.078204215277998,1.0,0.8962374917559197
0.28,1.380548315076592,3.197766291077668,1.057,1.0191610748397322,5.491160450163142,2.321692810501291,1.1852834851895426,5.1744848437572095,1.9863394952269162,1.2180012266698086,4.101980160153276,1.0,0.9187079388892877
0.32,1.376927462733794,3.204267206742067,1.0574389338951722,1.006694863641207,5.505044521452486,2.330375169219956,1.1737741162853785,5.1883397300339835,1.9944460533830293,1.1988982909421226,4.126836829795612,1.0,0.9395898548781738
0.36,1.3723942855982538,3.2121357145032743,1.058,0.9925778637789084,5.517742223009275,2.336681811104987,1.162803335770797,5.201867223153241,2.0007398238561773,1.178964792791494,4.152774224205006,1.0,0.9603206623942726
