time_s,sur1_input_valid,sur1_dp_doppler_hz,sur1_retained,sur1_retained_doppler_hz,sur2_input_valid,sur2_dp_doppler_hz,sur2_retained,sur2_retained_doppler_hz,sur3_input_valid,sur3_dp_doppler_hz,sur3_retained,sur3_retained_doppler_hz,rtk_x_m,rtk_y_m,rtk_z_m
0.0,1,-10.0,0,,1,5.0,1,5.0,1,5.0,0,,,,
0.04,1,-10.0,0,,1,5.0,1,5.0,1,5.0,0,,,,
0.08,1,-10.0,1,-10.0,1,5.0,0,,1,5.0,0,,1.387,3.183,1.058
0.12,1,-10.0,1,-10.0,1,5.0,0,,1,5.0,0,,1.3869502091819,3.1831161785755664,1.0579834030606334
0.16,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3854549003110543,3.1866052326075396,1.0574849667703514
0.2,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3839539833697452,3.190103537418073,1.057
0.24,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3822511492231686,3.1939349142478703,1.057
0.28,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.380548315076592,3.197766291077668,1.057
0.32,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.376927462733794,3.204267206742067,1.0574389338951722
0.36,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3723942855982538,3.2121357145032743,1.058
0.4,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3678519999323147,3.22065250012691,1.058
0.44,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.365,3.226,1.058
0.48,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.365,3.226,1.058
0.52,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.365,3.226,1.058
0.56,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3600448129532474,3.2349193366841544,1.0584955187046752
0.6,1,-10.0,1,-10.0,1,5.0,1,5.0,1,5.0,0,,1.3548769403353826,3.2442707312621586,1.0590246119329234
0.64,1,-12.5,1,-12.5,1,5.0,1,5.0,1,5.0,0,,1.3474084170602612,3.2607014824674256,1.0605183165879477
0.68,1,-12.5,0,,1,5.0,1,5.0,1,5.0,0,,1.345,3.266,1.061
0.72,1,-12.5,0,,1,5.0,1,5.0,1,5.0,0,,1.345,3.266,1.061
0.76,1,-12.5,1,-12.5,1,5.0,1,5.0,1,5.0,0,,1.3353558692260241,3.288824442831743,1.0622858841031968
0.8,1,-15.0,1,-15.0,1,7.5,1,7.5,1,5.0,0,,1.320136507130157,3.324843599791962,1.0643151323826456
0.84,1,-15.0,1,-15.0,1,7.5,1,7.5,1,5.0,0,,1.315,3.337,1.065
0.88,1,-17.5,0,,1,7.5,1,7.5,1,5.0,0,,1.315,3.337,1.065
0.92,1,-17.5,1,-17.5,1,7.5,1,7.5,1,5.0,0,,1.315,3.337,1.065
0.96,1,-17.5,1,-17.5,1,7.5,1,7.5,1,5.0,0,,1.3030416043308888,3.3647434779523384,1.064043328346471
1.0,1,-20.0,1,-20.0,1,7.5,0,,1,5.0,0,,1.29,3.395,1.063
1.04,1,-20.0,1,-20.0,1,10.0,1,10.0,1,5.0,0,,1.2863155080172046,3.40310588236215,1.0625789152019662
1.08,1,-20.0,1,-20.0,1,10.0,1,10.0,1,5.0,0,,1.2633341896498416,3.4536647827703484,1.0599524788171246
1.12,1,-22.5,1,-22.5,1,10.0,1,10.0,1,5.0,0,,1.2356895568467336,3.512300055276382,1.059
1.16,1,-22.5,1,-22.5,1,10.0,1,10.0,1,5.0,0,,1.209,3.568,1.059
1.2,1,-22.5,0,,1,10.0,1,10.0,1,5.0,0,,1.209,3.568,1.059
1.24,1,-22.5,0,,1,10.0,1,10.0,1,5.0,0,,1.2023465359513252,3.582032760539023,1.0596048603680612
1.28,1,-25.0,1,-25.0,1,10.0,1,10.0,1,5.0,0,,1.1659136402222108,3.6588730497131556,1.062916941797981
1.32,1,-25.0,1,-25.0,1,10.0,1,10.0,1,5.0,0,,1.154,3.684,1.064
1.36,1,-25.0,1,-25.0,1,10.0,1,10.0,1,5.0,0,,1.1245952043614573,3.7441262239176174,1.0688276530152832
1.4,1,-25.0,1,-25.0,1,10.0,1,10.0,1,5.0,0,,1.0781276349100073,3.8387447301799855,1.0768230887171217
1.44,1,-25.0,1,-25.0,1,10.0,1,10.0,1,5.0,0,,1.0296057213490803,3.9357885573018394,1.0867933449282712
1.48,1,-25.0,1,-25.0,1,7.5,1,7.5,1,5.0,0,,1.014,3.967,1.09
1.52,1,-25.0,1,-25.0,1,7.5,1,7.5,1,5.0,0,,1.014,3.967,1.09
1.56,1,-25.0,1,-25.0,1,7.5,1,7.5,1,5.0,0,,0.9890087529103698,4.01513129069114,1.096170678293736
